iteration,fitness,inlier_ratio
475736,0.663,0.015
775061,0.484,0.008
526480,0.484,0.006
976230,0.425,0.002
29417,0.613,0.01
301990,0.231,0.002
331730,0.76,0.02
275234,0.104,0.0
852994,0.122,0.0
425760,0.126,0.0
929571,0.376,0.002
652498,0.066,0.0
77395,0.192,0.0
603216,0.11,0.0
52764,0.161,0.001
625306,0.125,0.002
450485,0.097,0.001
506879,0.319,0.007
588454,0.099,0.0
551545,0.16,0.003
3058,0.134,0.0
260107,0.413,0.006
412943,0.428,0.003
109175,0.062,0.0
779889,0.617,0.007
155973,0.101,0.0
375782,0.037,0.001
687220,0.223,0.0
907389,0.108,0.0
365783,0.132,0.0
731672,0.051,0.001
236868,0.077,0.0
756985,0.052,0.0
280268,0.754,0.021
994552,0.526,0.006
304962,0.435,0.009
853661,0.194,0.0
881304,0.034,0.0
204912,0.089,0.003
803213,0.036,0.001
136150,0.053,0.0
626759,0.221,0.006
950311,0.009,0.0
427199,0.151,0.002
11531,0.341,0.0
760290,0.208,0.0
99171,0.335,0.001
237309,0.619,0.015
113765,0.158,0.0
305113,0.505,0.01
198913,0.043,0.0
853663,0.239,0.0
811358,0.112,0.0
383103,0.085,0.0
435480,0.628,0.008
209848,0.099,0.001
740566,0.08,0.0
954474,0.237,0.001
716938,0.02,0.0
811473,0.675,0.015
856320,0.312,0.005
368778,0.317,0.001
911199,0.267,0.003
385972,0.088,0.001
740992,0.084,0.0
218054,0.172,0.0
138954,0.071,0.0
922475,0.649,0.006
139052,0.214,0.003
673395,0.14,0.0
473330,0.436,0.007
745799,0.16,0.005
55599,0.185,0.001
746949,0.372,0.001
116839,0.313,0.001
867738,0.722,0.018
674457,0.738,0.018
