iteration,fitness,rmse
0,0.2746,0.1555
1,0.3276,0.1438
2,0.3628,0.1409
3,0.3847,0.1387
4,0.393,0.1355
5,0.3974,0.135
6,0.3997,0.1351
7,0.4009,0.1353
8,0.4016,0.1354
9,0.402,0.1355
10,0.4021,0.1356
11,0.4023,0.1357
12,0.4025,0.1357
13,0.4025,0.1358
14,0.4026,0.1358
15,0.4026,0.1358
16,0.4027,0.1358
17,0.4027,0.1358
18,0.4028,0.1358
19,0.4028,0.1358
20,0.4028,0.1358
21,0.4029,0.1358
22,0.4029,0.1358
23,0.4029,0.1358
24,0.4029,0.1358
25,0.4029,0.1358
26,0.4029,0.1358
27,0.4029,0.1358
28,0.4029,0.1358
29,0.403,0.1358
0,0.076,0.0178
1,0.0768,0.0175
2,0.0775,0.0173
3,0.0781,0.0173
4,0.0789,0.0173
5,0.0798,0.0174
6,0.0808,0.0175
7,0.0819,0.0176
8,0.0831,0.0176
9,0.0842,0.0177
10,0.0852,0.0177
11,0.086,0.0177
12,0.0865,0.0177
13,0.087,0.0177
14,0.0873,0.0177
15,0.0875,0.0177
16,0.0877,0.0177
17,0.0879,0.0177
18,0.0881,0.0177
19,0.0882,0.0177
20,0.0883,0.0177
21,0.0885,0.0177
22,0.0887,0.0177
23,0.0888,0.0176
24,0.0889,0.0176
25,0.0891,0.0176
26,0.0894,0.0176
27,0.0896,0.0176
28,0.0899,0.0176
29,0.0903,0.0176
